Symbol,Date,Low,Open,Volume,High,Close,adjusted_close
SHW,2022-01-14,304.0,310.239990234375,2622700,313.45001220703125,308.4599914550781,307.0341186523437
SHW,2022-01-18,297.7799987792969,300.7099914550781,2738200,306.95001220703125,306.2200012207031,304.80450439453125
SHW,2022-01-19,303.57000732421875,306.6600036621094,1859800,309.20001220703125,303.7900085449219,302.3857421875
SHW,2022-01-20,296.75,305.32000732421875,1501300,307.57000732421875,297.6600036621094,296.2840881347656
SHW,2022-01-21,292.760009765625,297.6600036621094,2124900,301.8500061035156,292.8500061035156,291.4963073730469
SHW,2022-01-24,284.8999938964844,287.25,2987300,299.6400146484375,298.5199890136719,297.1400756835937
SHW,2022-01-25,290.5199890136719,294.510009765625,2908000,298.95001220703125,294.260009765625,292.8998107910156
SHW,2022-01-26,291.7200012207031,295.0,3524100,299.989990234375,292.75,291.39678955078125
SHW,2022-01-27,279.8099975585937,290.2799987792969,3374500,294.94000244140625,283.1700134277344,281.8610534667969
SHW,2022-01-28,273.7799987792969,282.3800048828125,2316800,287.8500061035156,287.70001220703125,286.3701171875
SHW,2022-01-31,283.20001220703125,287.0,2498700,288.8999938964844,286.510009765625,285.18560791015625
SHW,2022-02-01,284.69000244140625,288.7300109863281,2221000,294.29998779296875,293.0899963378906,291.7351989746094
SHW,2022-02-02,290.1700134277344,293.70001220703125,1190100,295.75,294.32000732421875,292.95953369140625
SHW,2022-02-03,287.3999938964844,291.510009765625,998800,294.0799865722656,287.8299865722656,286.4994812011719
SHW,2022-02-04,280.6099853515625,286.0199890136719,1459700,286.1000061035156,281.7300109863281,280.4277038574219
SHW,2022-02-07,279.2200012207031,282.1499938964844,1474900,282.67999267578125,279.2200012207031,277.9292907714844
SHW,2022-02-08,277.9800109863281,280.1000061035156,1125900,281.0,279.6700134277344,278.3772277832031
SHW,2022-02-09,282.9599914550781,283.0,1086400,288.5,286.6199951171875,285.29510498046875
SHW,2022-02-10,278.510009765625,283.17999267578125,1215200,285.4200134277344,279.92999267578125,278.63604736328125
SHW,2022-02-11,272.20001220703125,278.94000244140625,1265100,279.92999267578125,273.1000061035156,271.8376159667969
SHW,2022-02-14,269.17999267578125,273.5400085449219,1074700,274.6499938964844,270.4800109863281,269.229736328125
SHW,2022-02-15,270.239990234375,274.739990234375,1166900,275.04998779296875,271.57000732421875,270.314697265625
SHW,2022-02-16,266.8800048828125,271.8599853515625,924000,273.04998779296875,272.6300048828125,271.3697814941406
SHW,2022-02-17,266.4599914550781,271.25,946100,273.0599975585937,267.2200012207031,265.9847717285156
SHW,2022-02-18,266.3599853515625,267.69000244140625,1317400,271.489990234375,268.07000732421875,266.83087158203125
SHW,2022-02-22,259.1300048828125,265.8599853515625,2088600,266.7200012207031,261.5799865722656,260.370849609375
SHW,2022-02-23,259.1499938964844,262.8999938964844,2101400,264.1000061035156,259.3999938964844,258.200927734375
SHW,2022-02-24,251.42999267578125,253.5200042724609,2010200,259.5799865722656,258.94000244140625,257.7430725097656
SHW,2022-02-25,259.1600036621094,259.54998779296875,1423800,267.3900146484375,267.2699890136719,266.65240478515625
SHW,2022-02-28,260.8299865722656,264.7300109863281,2315000,266.79998779296875,263.1300048828125,262.5220031738281
SHW,2022-03-01,253.9499969482422,261.5199890136719,2311200,263.4599914550781,255.52999877929688,254.9395446777344
SHW,2022-03-02,255.5800018310547,256.04998779296875,1449300,261.17999267578125,260.2200012207031,259.61871337890625
SHW,2022-03-03,256.2200012207031,262.82000732421875,997900,263.92999267578125,258.0400085449219,257.4437561035156
SHW,2022-03-04,253.5200042724609,255.4600067138672,1643700,258.75,258.489990234375,257.8927001953125
SHW,2022-03-07,242.8999938964844,257.45001220703125,2197700,258.5,242.9499969482422,242.38861083984372
SHW,2022-03-08,236.1999969482422,242.4499969482422,2049100,248.0800018310547,239.8500061035156,239.29579162597656
SHW,2022-03-09,238.00999450683597,241.97999572753903,1887100,244.5399932861328,241.7100067138672,241.1514892578125
SHW,2022-03-10,235.8500061035156,238.3800048828125,1672300,239.44000244140625,237.5500030517578,237.0010986328125
SHW,2022-03-11,233.32000732421875,238.00999450683597,1269900,239.1300048828125,233.58999633789065,233.0502471923828
SHW,2022-03-14,233.41000366210935,234.8600006103516,1340700,239.6699981689453,237.6300048828125,237.08091735839844
SHW,2022-03-15,239.2700042724609,239.72999572753903,1757500,244.47999572753903,242.44000244140625,241.8797912597656
SHW,2022-03-16,239.66000366210935,244.97999572753903,1651100,249.6000061035156,244.3800048828125,243.81532287597656
SHW,2022-03-17,241.4900054931641,242.50999450683597,1409000,247.52999877929688,247.5200042724609,246.94805908203125
SHW,2022-03-18,244.8800048828125,248.1300048828125,2068300,252.6300048828125,251.52999877929688,250.94879150390625
SHW,2022-03-21,244.13999938964844,251.1999969482422,1135900,251.8800048828125,245.82000732421875,245.2519989013672
SHW,2022-03-22,248.5500030517578,251.4900054931641,1400300,252.1499938964844,250.1699981689453,249.5919342041016
SHW,2022-03-23,246.8000030517578,248.4199981689453,1276500,249.75999450683597,247.63999938964844,247.0677795410156
SHW,2022-03-24,246.6000061035156,248.4600067138672,1369800,250.00999450683597,249.92999267578125,249.35247802734372
SHW,2022-03-25,244.4600067138672,249.2899932861328,1143300,250.7899932861328,245.2100067138672,244.64340209960935
SHW,2022-03-28,244.1100006103516,245.5399932861328,1282100,250.6199951171875,250.5800018310547,250.00099182128903
SHW,2022-03-29,256.32000732421875,259.04998779296875,1904000,264.42999267578125,259.3500061035156,258.750732421875
